Start,Length,Dirty,Zero,Date,Time,Checkpoint
0,4194304,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
4194304,163577856,false,true,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
167772160,2097152,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
169869312,534773760,false,true,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
704643072,1048576,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
705691648,65536,true,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
705757184,589824,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
706347008,131072,true,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
706478080,1703936,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
708182016,655360,true,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
708837376,18874368,false,true,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
727711744,1310720,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
729022464,65536,true,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
729088000,589824,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
729677824,65536,true,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
729743360,10551296,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
740294656,31457280,false,true,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
771751936,4194304,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
775946240,62914560,false,true,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
838860800,68091904,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
906952704,65536,true,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
907018240,329318400,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
1236336640,65536,true,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
1236402176,6160384,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
1242562560,65536,true,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
1242628096,3211264,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
1245839360,720896,true,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
1246560256,204931072,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
1451491328,24903680,false,true,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
1476395008,4194304,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
1480589312,29360128,false,true,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
1509949440,16777216,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
1526726656,117440512,false,true,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
1644167168,4194304,false,false,2025-05-02,15:41:08,f2c25a0c-d450-424a-9701-5c5db28e8357
